City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
568,Texarkana,US,77.0,broken clouds,33.4251,-94.0477,Holiday Inn Express & Suites Texarkana
571,Sparta,US,77.0,broken clouds,43.9441,-90.8129,"Country Inn & Suites by Radisson, Sparta, WI"
573,Mitsamiouli,KM,82.29,overcast clouds,-11.3847,43.2844,Foyer ADM
582,Braganca,BR,76.32,overcast clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
584,Levelland,US,82.99,scattered clouds,33.5873,-102.37799999999999,Holiday Inn Express & Suites Levelland
585,Viesca,MX,89.6,clear sky,25.35,-102.8,LA VIEZCA (Parque Magico)
587,Sarangani,PH,81.7,scattered clouds,5.4033,125.4636,Ballistic Islet
592,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
593,Fare,PF,81.19,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
596,Nioaque,BR,83.59,overcast clouds,-21.1353,-55.83,Nioaque Novo Hotel
598,Auki,SB,85.32,broken clouds,-8.7676,160.7034,Auki Motel
605,San Juan,AR,81.45,scattered clouds,-31.5375,-68.5364,Hotel Provincial
608,Corsicana,US,75.2,scattered clouds,32.0954,-96.4689,Holiday Inn Express & Suites Corsicana I-45
611,Puerto Escondido,MX,84.07,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
617,Ambulu,ID,75.31,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
623,Lakatoro,VU,81.73,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
627,Namatanai,PG,81.32,light rain,-3.6667,152.4333,Namatanai Hotel
635,Champerico,GT,87.8,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
636,Kloulklubed,PW,82.4,broken clouds,7.0419,134.2556,Storyboard Beach Resort
639,Sibolga,ID,76.1,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
640,Poum,NC,80.04,broken clouds,-20.2333,164.0167,Gîte kajeon
641,Cam Ranh,VN,75.2,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
642,Banjar,ID,80.6,light rain,-8.19,114.9675,The Hamsa Resort
646,Mahanoro,MG,75.11,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
647,Tambura,SS,82.38,overcast clouds,5.6,27.4667,Rikito Lodge
655,Mecca,SA,77.67,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
656,Pauini,BR,75.2,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
658,San Fernando,PH,77.0,broken clouds,15.0286,120.6898,Maharlika Hostel
659,Acapulco,MX,84.2,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
662,Kanniyakumari,IN,80.01,scattered clouds,8.0833,77.5667,Sparsa
663,Ewa Beach,US,80.6,clear sky,21.3156,-158.0072,Uncle Junior Robert
667,Axim,GH,79.5,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
668,Bharatpur,IN,83.17,overcast clouds,27.2167,77.4833,OYO 22446 Sonar Haveli
671,Saint-Joseph,RE,78.8,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
672,Sendhwa,IN,79.57,clear sky,21.6833,75.1,Hotel Shagun Garden
676,Isla Vista,US,75.99,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
678,Camocim,BR,79.05,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
680,Hervey Bay,AU,75.0,broken clouds,-25.2986,152.8535,Shelly Bay Resort
687,Dwarka,IN,78.85,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
688,Bundaberg,AU,75.2,scattered clouds,-24.85,152.35,Takalvan Motel
694,Srivardhan,IN,77.83,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
696,Aquin,HT,77.05,broken clouds,18.2833,-73.4,Asheev Beach
