City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Alta,NO,69.9689,23.2717,35.6,80,90,14.97,light snow
236,Prince Rupert,CA,54.3161,-130.3201,42.8,81,90,4.61,light rain
237,Muncar,ID,-8.4333,114.3333,75.63,89,100,3.87,overcast clouds
238,Adeje,ES,28.1227,-16.726,66.2,68,20,4.61,few clouds
239,Kingston,JM,17.997,-76.7936,82.4,65,40,8.05,scattered clouds
240,Manzhouli,CN,49.6,117.4333,26.78,57,9,12.01,clear sky
241,Khromtau,KZ,50.2503,58.4347,29.19,98,100,11.5,snow
242,Tongliao,CN,43.6125,122.2653,45.55,25,2,6.8,clear sky
243,Sitka,US,57.0531,-135.33,39.2,100,90,10.36,moderate rain
244,Talnakh,RU,69.4865,88.3972,23.88,96,100,8.55,snow
245,Georgetown,MY,5.4112,100.3354,80.01,89,20,2.3,few clouds
246,Bethel,US,41.3712,-73.414,62.6,17,1,11.5,clear sky
247,Jardim,BR,-21.4803,-56.1381,83.55,35,100,1.39,overcast clouds
248,Caxias,PT,38.7031,-9.2767,60.01,63,0,3.44,clear sky
249,Lewistown,US,40.5992,-77.5714,66.2,24,1,6.91,clear sky
250,Teya,RU,60.3778,92.6267,24.49,98,100,3.98,overcast clouds
251,Muroto,JP,33.2833,134.15,51.8,62,75,9.22,broken clouds
252,Byron Bay,AU,-28.65,153.6167,69.8,94,75,6.91,broken clouds
253,Ndele,CF,8.4109,20.6473,79.09,20,5,2.95,clear sky
254,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.2,64,73,6.71,broken clouds
255,Olden,NO,61.8364,6.8064,33.01,95,100,8.99,snow
256,Kalmunai,LK,7.4167,81.8167,77.85,83,55,1.63,broken clouds
257,Cockburn Town,TC,21.4612,-71.1419,75.2,53,40,13.8,scattered clouds
258,Carutapera,BR,-1.195,-46.02,77.83,90,97,7.56,overcast clouds
259,Alta Floresta,BR,-9.8756,-56.0861,74.48,92,100,1.72,overcast clouds
260,Opuwo,NA,-18.0607,13.84,71.67,42,32,5.86,scattered clouds
261,Denpasar,ID,-8.65,115.2167,80.6,94,20,2.3,heavy intensity rain
262,Quthing,LS,-30.4,27.7003,58.6,50,16,3.56,few clouds
263,Hatsukaichi,JP,34.35,132.3333,53.01,54,40,6.91,scattered clouds
264,Pljevlja,ME,43.3333,19.3333,39.2,52,0,11.5,clear sky
265,Kahului,US,20.8947,-156.47,77.0,73,40,18.41,light rain
266,Bathsheba,BB,13.2167,-59.5167,78.8,69,20,12.66,few clouds
267,Bud,US,39.447,-86.1758,73.4,35,1,3.44,clear sky
268,Masindi,UG,1.6744,31.715,65.07,98,100,1.72,heavy intensity rain
269,Qaqortoq,GL,60.7167,-46.0333,39.2,75,75,1.14,broken clouds
270,Faya,SA,18.3851,42.4509,64.4,27,10,4.61,clear sky
